at: 2019-04-17 07:04:05.028    Python script hello.py on channel hello_world...
at: 2019-04-17 14:46:17.011    {'status': 'pingAck_hello.py_T7:47:52:416'}
at: 2019-04-17 14:49:14.980    {'ping': 'hello.py'}
at: 2019-04-17 14:49:17.262    {'status': 'pingAck_hello.py_T7:50:52:344'}
at: 2019-04-17 14:52:15.016    {'ping': 'hello.py'}
at: 2019-04-17 14:52:16.945    {'status': 'pingAck_hello.py_T7:53:52:300'}
at: 2019-04-17 14:55:14.989    {'ping': 'hello.py'}
at: 2019-04-17 14:55:17.119    {'status': 'pingAck_hello.py_T7:56:52:192'}
at: 2019-04-17 14:58:14.996    {'ping': 'hello.py'}
at: 2019-04-17 14:58:16.956    {'status': 'pingAck_hello.py_T7:59:52:134'}
at: 2019-04-17 15:01:14.986    {'ping': 'hello.py'}
at: 2019-04-17 15:01:16.860    {'status': 'pingAck_hello.py_T8:2:52:49'}
